"id"	"structure"	"dispo_id"	"season"	"season_year"	"dispo_type"	"site_code"	"lon"	"lat"	"local"	"campaign_start"	"campaign.end"	"campaign_duration"	"trap_night"	"trap_cat"
"340"	340	"PNRun OUEST"	"592-CSEO01-2015-2016-HIVER"	"HIVER"	"2015-2016"	"CAGE"	"GBR"	332107.212	7668530.1	"Planèze GBR"	"15/07/2015"	"12/08/2015"	28	13	0
"389"	389	"LIFE"	"713-CGBC01-2015-2016-ETE"	"ETE"	"2015-2016"	"CAGE"	"GBR"	336397.011	7663508.02	"Sentier colonie GBR"	"23/11/2015"	"18/03/2016"	116	73	0
"390"	390	"LIFE"	"713-CGBC01-2015-2016-HIVER"	"HIVER"	"2015-2016"	"CAGE"	"GBR"	336397.011	7663508.02	"Sentier colonie GBR"	"22/09/2015"	"28/09/2015"	6	3	1
"391"	391	"LIFE"	"716-CGBC02-2015-2016-ETE"	"ETE"	"2015-2016"	"CAGE"	"GBR"	336327.509	7663582.963	"Ravine Colonie GBR"	"23/11/2015"	"18/03/2016"	116	88	0
"392"	392	"LIFE"	"716-CGBC02-2015-2016-HIVER"	"HIVER"	"2015-2016"	"CAGE"	"GBR"	336327.509	7663582.963	"Ravine Colonie GBR"	"22/09/2015"	"28/09/2015"	6	6	0
"393"	393	"LIFE"	"719-CGBC03-2017-2018-HIVER"	"HIVER"	"2017-2018"	"CAGE"	"GBR"	336347.044	7663593.96	"Ravine Colonie GBR"	"31/07/2017"	"28/08/2017"	28	15	0
"394"	394	"LIFE"	"719-CGBC03-2015-2016-ETE"	"ETE"	"2015-2016"	"CAGE"	"GBR"	336347.044	7663593.96	"Ravine Colonie GBR"	"23/11/2015"	"16/02/2016"	85	62.5	0
"395"	395	"LIFE"	"719-CGBC03-2015-2016-HIVER"	"HIVER"	"2015-2016"	"CAGE"	"GBR"	336347.044	7663593.96	"Ravine Colonie GBR"	"22/09/2015"	"28/09/2015"	6	6	0
"396"	396	"LIFE"	"722-CGBC04-2017-2018-HIVER"	"HIVER"	"2017-2018"	"CAGE"	"GBR"	336321.044	7663548.98	"Ravine Colonie GBR"	"29/05/2017"	"28/08/2017"	91	64	0
"397"	397	"LIFE"	"722-CGBC04-2015-2016-ETE"	"ETE"	"2015-2016"	"CAGE"	"GBR"	336321.044	7663548.98	"Ravine Colonie GBR"	"23/11/2015"	"16/02/2016"	85	61	0
"398"	398	"LIFE"	"722-CGBC04-2015-2016-HIVER"	"HIVER"	"2015-2016"	"CAGE"	"GBR"	336321.044	7663548.98	"Ravine Colonie GBR"	"22/09/2015"	"28/09/2015"	6	6	0
"399"	399	"LIFE"	"722-CGBC04-2018-2019-HIVER"	"HIVER"	"2018-2019"	"CAGE"	"GBR"	336321.044	7663548.98	"Ravine Colonie GBR"	"17/05/2018"	"05/09/2018"	111	22	0
